Building populated grid (0.1 deg, city-radius=1)...
  15711 unique cells x 2 categories = 31422 reference calls.

  0 (cell,category) pairs already cached; resuming.

[4950/15711 cells] made=9900 skip=0 err=0 ~4984/hr
[5000/15711 cells] made=10000 skip=0 err=0 ~4984/hr
[5050/15711 cells] made=10100 skip=0 err=0 ~4984/hr
[5100/15711 cells] made=10200 skip=0 err=0 ~4984/hr
[5150/15711 cells] made=10300 skip=0 err=0 ~4984/hr
[5200/15711 cells] made=10400 skip=0 err=0 ~4985/hr
[5250/15711 cells] made=10500 skip=0 err=0 ~4985/hr
[5300/15711 cells] made=10600 skip=0 err=0 ~4985/hr
[5350/15711 cells] made=10700 skip=0 err=0 ~4984/hr
    35.5,-77.4 rooftop: network: <urlopen error [Errno -3] Temporary failure in name resolution>
[5400/15711 cells] made=10799 skip=0 err=1 ~4984/hr
[5450/15711 cells] made=10899 skip=0 err=1 ~4984/hr
[5500/15711 cells] made=10999 skip=0 err=1 ~4984/hr
[5550/15711 cells] made=11099 skip=0 err=1 ~4984/hr
[5600/15711 cells] made=11199 skip=0 err=1 ~4984/hr
[5650/15711 cells] made=11299 skip=0 err=1 ~4984/hr
[5700/15711 cells] made=11399 skip=0 err=1 ~4984/hr
[5750/15711 cells] made=11499 skip=0 err=1 ~4984/hr
[5800/15711 cells] made=11599 skip=0 err=1 ~4984/hr
[5850/15711 cells] made=11699 skip=0 err=1 ~4984/hr
[5900/15711 cells] made=11799 skip=0 err=1 ~4984/hr
[5950/15711 cells] made=11899 skip=0 err=1 ~4984/hr
[6000/15711 cells] made=11999 skip=0 err=1 ~4984/hr
[6050/15711 cells] made=12099 skip=0 err=1 ~4983/hr
[6100/15711 cells] made=12199 skip=0 err=1 ~4983/hr
[6150/15711 cells] made=12299 skip=0 err=1 ~4983/hr
[6200/15711 cells] made=12399 skip=0 err=1 ~4983/hr
[6250/15711 cells] made=12499 skip=0 err=1 ~4983/hr
[6300/15711 cells] made=12599 skip=0 err=1 ~4983/hr
[6350/15711 cells] made=12699 skip=0 err=1 ~4983/hr
[6400/15711 cells] made=12799 skip=0 err=1 ~4983/hr
[6450/15711 cells] made=12899 skip=0 err=1 ~4983/hr
[6500/15711 cells] made=12999 skip=0 err=1 ~4984/hr
[6550/15711 cells] made=13099 skip=0 err=1 ~4984/hr
[6600/15711 cells] made=13199 skip=0 err=1 ~4984/hr
[6650/15711 cells] made=13299 skip=0 err=1 ~4984/hr
[6700/15711 cells] made=13399 skip=0 err=1 ~4984/hr
[6750/15711 cells] made=13499 skip=0 err=1 ~4984/hr
[6800/15711 cells] made=13599 skip=0 err=1 ~4984/hr
[6850/15711 cells] made=13699 skip=0 err=1 ~4984/hr
[6900/15711 cells] made=13799 skip=0 err=1 ~4984/hr
[6950/15711 cells] made=13899 skip=0 err=1 ~4984/hr
[7000/15711 cells] made=13999 skip=0 err=1 ~4984/hr
[7050/15711 cells] made=14099 skip=0 err=1 ~4984/hr
